record_path	record_id	record_label	grounding_role	grounding_curie	ontology_label	record_label_match	declared_exact_synonyms	missing_exact_synonyms	status	oak_status	source_version
data/traits/metabolism/respiration.yaml	METPO:1000800	respiration	identifier	METPO:1000800	respiration	CANONICAL_LABEL			EXACT_COMPLETE	AGREES	2026-06-12
data/traits/metabolism/sequesters.yaml	METPO:2000211	sequesters	identifier	METPO:2000211	sequesters	CANONICAL_LABEL			EXACT_COMPLETE	AGREES	2026-06-12
data/traits/metabolism/shows_activity_of.yaml	METPO:2000302	shows activity of	identifier	METPO:2000302	shows activity of	CANONICAL_LABEL			EXACT_COMPLETE	AGREES	2026-06-12
data/traits/metabolism/starch_degradation.yaml	traitmech:000115	starch degradation	identifier	traitmech:000115					NO_DIRECT_SOURCE	NOT_CHECKED	
data/traits/metabolism/starch_degradation.yaml	traitmech:000115	starch degradation	xref	GO:0005983	starch catabolic process	EXACT_SYNONYM	starch breakdown | starch catabolism | starch degradation		EXACT_COMPLETE	AGREES	releases/2026-07-26
data/traits/metabolism/substrate_level_phosphorylation.yaml	METPO:1000804	Substrate-level phosphorylation	identifier	METPO:1000804	Substrate-level phosphorylation	CANONICAL_LABEL			EXACT_COMPLETE	AGREES	2026-06-12
data/traits/metabolism/sulfur_oxidation.yaml	traitmech:000106	sulfur oxidation	identifier	traitmech:000106					NO_DIRECT_SOURCE	NOT_CHECKED	
data/traits/metabolism/syntrophy.yaml	METPO:1002006	Syntrophy	identifier	METPO:1002006	Syntrophy	CANONICAL_LABEL			EXACT_COMPLETE	AGREES	2026-06-12
data/traits/metabolism/three_hydroxypropionate_bicycle.yaml	traitmech:000023	3-hydroxypropionate bicycle	identifier	traitmech:000023					NO_DIRECT_SOURCE	NOT_CHECKED	
data/traits/metabolism/three_hydroxypropionate_four_hydroxybutyrate_cycle.yaml	traitmech:000024	3-hydroxypropionate/4-hydroxybutyrate cycle	identifier	traitmech:000024					NO_DIRECT_SOURCE	NOT_CHECKED	
data/traits/metabolism/transports.yaml	METPO:2000207	transports	identifier	METPO:2000207	transports	CANONICAL_LABEL			EXACT_COMPLETE	AGREES	2026-06-12
data/traits/metabolism/uses_as_carbon_source.yaml	METPO:2000006	uses as carbon source	identifier	METPO:2000006	uses as carbon source	CANONICAL_LABEL			EXACT_COMPLETE	AGREES	2026-06-12
data/traits/metabolism/uses_as_carbon_source.yaml	METPO:2000006	uses as carbon source	xref	MICRO:0001460					NO_DIRECT_SOURCE	NOT_CHECKED	
data/traits/metabolism/uses_as_electron_acceptor.yaml	METPO:2000008	uses as electron acceptor	identifier	METPO:2000008	uses as electron acceptor	CANONICAL_LABEL			EXACT_COMPLETE	AGREES	2026-06-12
data/traits/metabolism/uses_as_electron_acceptor.yaml	METPO:2000008	uses as electron acceptor	xref	MICRO:0001463					NO_DIRECT_SOURCE	NOT_CHECKED	
data/traits/metabolism/uses_as_electron_donor.yaml	METPO:2000009	uses as electron donor	identifier	METPO:2000009	uses as electron donor	CANONICAL_LABEL			EXACT_COMPLETE	AGREES	2026-06-12
data/traits/metabolism/uses_as_electron_donor.yaml	METPO:2000009	uses as electron donor	xref	MICRO:0001462					NO_DIRECT_SOURCE	NOT_CHECKED	
data/traits/metabolism/uses_as_energy_source.yaml	METPO:2000010	uses as energy source	identifier	METPO:2000010	uses as energy source	CANONICAL_LABEL			EXACT_COMPLETE	AGREES	2026-06-12
data/traits/metabolism/uses_as_energy_source.yaml	METPO:2000010	uses as energy source	xref	MICRO:0001461					NO_DIRECT_SOURCE	NOT_CHECKED	
data/traits/metabolism/uses_as_nitrogen_source.yaml	METPO:2000014	uses as nitrogen source	identifier	METPO:2000014	uses as nitrogen source	CANONICAL_LABEL			EXACT_COMPLETE	AGREES	2026-06-12
