file	graph_id	wired_nodes	components	largest_component	component_sizes
data/traits/environment/ph_range_high.yaml	ph_range_high_extreme_alkaliphile	12	2	10	10,2
data/traits/environment/ph_range_low.yaml	ph_range_low_acidophile_range	13	5	5	5,2,2,2,2
data/traits/environment/ph_range_mid1.yaml	ph_range_mid1_neutrophile_range	9	1	9	9
data/traits/environment/ph_range_mid2.yaml	ph_range_mid2_mild_alkaline_tolerance	15	6	3	3,3,3,2,2,2
data/traits/environment/ph_range_mid3.yaml	ph_range_mid3_alkaliphile_range	11	2	6	6,5
data/traits/environment/ph_range_very_low.yaml	ph_range_very_low_extreme_acidophile	11	4	3	3,3,3,2
data/traits/environment/piezophilic.yaml	piezophilic_hhp_membrane_adaptation	8	1	8	8
data/traits/environment/piezotolerant.yaml	piezotolerance_pressure_range	9	1	9	9
data/traits/environment/pressure_delta.yaml	pressure_delta_breadth_descriptor	12	4	6	6,2,2,2
data/traits/environment/pressure_optimum.yaml	pressure_optimum_balanced_adaptation	9	2	5	5,4
data/traits/environment/pressure_range.yaml	pressure_range_growth_bounded_span	9	2	6	6,3
data/traits/environment/psychrophilic.yaml	psychrophilic_cold_adaptation	13	2	10	10,3
data/traits/environment/psychrotolerant.yaml	psychrotolerant_facultative_cold_adaptation	11	3	7	7,2,2
data/traits/environment/radiotolerant.yaml	radiotolerance_repair_antioxidant	11	1	11	11
data/traits/environment/salinity_phenotype_with_numerical_limits.yaml	salinity_phenotype_numerical_axis	13	2	9	9,4
data/traits/environment/slightly_halophilic.yaml	slight_halophile_low_salt_osmoadaptation	10	2	8	8,2
data/traits/environment/stenohaline.yaml	stenohaline_narrow_salinity_tolerance	17	6	6	6,3,2,2,2,2
data/traits/environment/strictly_anaerobic.yaml	strict_anaerobe_oxygen_sensitivity	8	1	8	8
data/traits/environment/temperature_delta.yaml	temperature_delta_thermal_flexibility	7	1	7	7
data/traits/environment/temperature_delta_high.yaml	temperature_delta_high_eurythermal	15	6	3	3,3,3,2,2,2
data/traits/environment/temperature_delta_low.yaml	temperature_delta_low_limited_breadth	8	1	8	8
data/traits/environment/temperature_delta_mid1.yaml	temperature_delta_mid1_moderate_breadth	11	2	9	9,2
data/traits/environment/temperature_delta_mid2.yaml	temperature_delta_mid2_broad_breadth	10	2	6	6,4
data/traits/environment/temperature_delta_very_low.yaml	temperature_delta_very_low_stenothermal	9	4	3	3,2,2,2
data/traits/environment/temperature_optimum.yaml	temperature_optimum_balanced_adaptation	9	2	7	7,2
data/traits/environment/temperature_optimum_high.yaml	temperature_optimum_high_thermophile_setpoint	16	6	5	5,3,2,2,2,2
data/traits/environment/temperature_optimum_low.yaml	temperature_optimum_low_psychrotolerant_setpoint	14	4	5	5,4,3,2
data/traits/environment/temperature_optimum_mid1.yaml	temperature_optimum_mid1_lower_mesophile	10	1	10	10
data/traits/environment/temperature_optimum_mid2.yaml	temperature_optimum_mid2_mesophile	9	2	7	7,2
data/traits/environment/temperature_optimum_mid3.yaml	temperature_optimum_mid3_upper_mesophile	12	5	4	4,2,2,2,2
data/traits/environment/temperature_optimum_mid4.yaml	temperature_optimum_mid4_warm_mesophile	15	4	4	4,4,4,3
data/traits/environment/temperature_optimum_very_low.yaml	temperature_optimum_very_low_psychrophile_setpoint	17	6	7	7,2,2,2,2,2
data/traits/environment/temperature_phenotype_with_numerical_limits.yaml	temperature_phenotype_numerical_axis	13	4	5	5,4,2,2
data/traits/environment/temperature_preference.yaml	temperature_preference_growth_physiology	13	2	11	11,2
data/traits/environment/temperature_range.yaml	temperature_range_bounded_adaptation	11	1	11	11
data/traits/environment/temperature_range_high.yaml	temperature_range_high_thermophile	10	1	10	10
data/traits/environment/temperature_range_low.yaml	temperature_range_low_psychrotolerant	13	5	4	4,3,2,2,2
data/traits/environment/temperature_range_mid1.yaml	temperature_range_mid1_lower_mesophile	13	5	4	4,3,2,2,2
data/traits/environment/temperature_range_mid2.yaml	temperature_range_mid2_baseline_mesophile	13	3	8	8,3,2
data/traits/environment/temperature_range_mid3.yaml	temperature_range_mid3_upper_mesophile	14	6	3	3,3,2,2,2,2
data/traits/environment/temperature_range_mid4.yaml	temperature_range_mid4_warm_mesophile	17	6	5	5,3,3,2,2,2
data/traits/environment/temperature_range_very_low.yaml	temperature_range_very_low_psychrophile	15	7	3	3,2,2,2,2,2,2
data/traits/environment/thermophilic.yaml	thermophilic_heat_adaptation	14	4	6	6,4,2,2
data/traits/environment/thermotolerant.yaml	thermotolerant_facultative_heat_adaptation	11	2	6	6,5
data/traits/environment/uv_radiation_tolerant.yaml	uv_tolerance_excision_repair	10	1	10	10
data/traits/environment/xerophilic.yaml	xerophilic_low_water_activity_growth	8	2	6	6,2
data/traits/environment/zinc_tolerant.yaml	zinc_tolerance_czc_efflux	11	1	11	11
data/traits/genomics/codon_usage_bias.yaml	codon_bias_translation_efficiency	6	1	6	6
data/traits/genomics/crispr_cas_system.yaml	crispr_adaptive_immunity	10	3	4	4,4,2
data/traits/genomics/gc_content.yaml	gc_content_composition_drivers	13	1	13	13
data/traits/genomics/gc_high.yaml	gc_high_low_gc_bin	10	1	10	10
data/traits/genomics/gc_low.yaml	gc_low_mid_low_gc_bin	8	2	6	6,2
data/traits/genomics/gc_mid1.yaml	gc_mid1_high_gc_bin	7	1	7	7
data/traits/genomics/gc_mid2.yaml	gc_mid2_mid_high_gc_bin	9	1	9	9
data/traits/genomics/gc_skew.yaml	gc_skew_replication_strand_asymmetry	9	1	9	9
data/traits/genomics/genome_size.yaml	genome_size_population_lifestyle	9	1	9	9
data/traits/genomics/genome_streamlining.yaml	streamlining_oligotrophic_selection	9	2	7	7,2
data/traits/genomics/genomic_island.yaml	gi_hgt_accessory_function	8	2	4	4,4
data/traits/genomics/mobile_genetic_element.yaml	mge_horizontal_gene_transfer	16	4	10	10,2,2,2
data/traits/genomics/pangenome_openness.yaml	pangenome_openness_hgt	11	2	8	8,3
data/traits/genomics/plasmid_carriage.yaml	plasmid_conjugation_hgt	11	3	6	6,3,2
data/traits/genomics/ploidy.yaml	ploidy_repair_survival	9	2	5	5,4
data/traits/genomics/prophage.yaml	prophage_lysogeny	13	4	5	5,4,2,2
data/traits/genomics/restriction_modification_system.yaml	rm_self_nonself_defense	11	2	9	9,2
data/traits/genomics/rrna_operon_copy_number.yaml	rrn_copy_growth_rate	7	1	7	7
data/traits/genomics/transposable_element.yaml	te_transposition_rearrangement	8	2	5	5,3
data/traits/metabolism/acetogenesis.yaml	acetogenesis_wood_ljungdahl	14	1	14	14
data/traits/metabolism/aerobic_respiration.yaml	aerobic_respiration_terminal_oxidase	8	2	5	5,3
data/traits/metabolism/anaerobic_oxidation_of_methane.yaml	aom_anme_sulfate_consortium	8	1	8	8
data/traits/metabolism/anaerobic_respiration.yaml	anaerobic_respiration_denitrification	14	4	6	6,3,3,2
data/traits/metabolism/anoxygenic_photosynthesis.yaml	anoxygenic_photosynthesis_sulfide_donor	7	1	7	7
data/traits/metabolism/biopolymer_degradation.yaml	biopolymer_degradation_extracellular_hydrolysis	14	6	3	3,3,2,2,2,2
data/traits/metabolism/cable_bacteria_metabolism.yaml	cable_bacteria_long_distance_electron_transport	14	1	14	14
data/traits/metabolism/calvin_benson_bassham_cycle.yaml	cbb_rubisco_co2_fixation	13	3	9	9,2,2
data/traits/metabolism/carbon_fixation.yaml	carbon_fixation_co2_assimilation	15	4	6	6,4,3,2
data/traits/metabolism/cellulolysis.yaml	cellulolysis_cellulase_systems	14	1	14	14
data/traits/metabolism/chitinolysis.yaml	chitinolysis_chitinase	9	3	5	5,2,2
data/traits/metabolism/denitrification.yaml	denitrification_stepwise_nitrate_to_n2	15	6	5	5,2,2,2,2,2
data/traits/metabolism/dicarboxylate_four_hydroxybutyrate_cycle.yaml	dc_four_hb_anaerobic_archaeal_co2_fixation	14	2	10	10,4
data/traits/metabolism/disproportionation.yaml	sulfur_disproportionation_redox_split	14	1	14	14
data/traits/metabolism/dissimilatory_iron_reduction.yaml	dir_ferric_iron_respiration	8	1	8	8
data/traits/metabolism/dissimilatory_manganese_reduction.yaml	dmr_mn_oxide_respiration	7	1	7	7
data/traits/metabolism/dissimilatory_metal_reduction.yaml	metal_reduction_anaerobic_respiration	10	3	4	4,3,3
