# generated by scripts/audit_research_groundings.py from 354 reports; 1733 pairs checked; 467 distinct findings
verdict	curie	claimed_label	ontology_label	replacement_curie	similarity	occurrences
DRIFT	CHEBI:32395	chemical/metabolite	arachidonate		0.44	1
DRIFT	GO:0006402	codonoptimalitymediatedmrnadecay	mRNA catabolic process		0.44	1
DRIFT	GO:0018995	mobile genetic element	host cellular component		0.44	1
DRIFT	GO:0032989	cell elongation (swarmer differentiation)	cellular anatomical entity morphogenesis		0.44	1
DRIFT	CHEBI:4170	product / intermediate	D-glucopyranose 6-phosphate		0.45	1
DRIFT	GO:0015986	cytochrome bd oxidase	proton motive force-driven ATP synthesis		0.45	1
DRIFT	CHEBI:15378	proton (h⁺)	hydron		0.46	1
DRIFT	CHEBI:16134	sulfate respiration	ammonia		0.46	1
DRIFT	CHEBI:18240	deoxyribonucleosides	4-hydroxy-L-proline		0.46	1
DRIFT	ENVO:00000105	semi-solid surface (agar 0.5-1.5%)	lake surface		0.46	1
DRIFT	GO:0009651	environmental factor	response to salt stress		0.46	1
DRIFT	CHEBI:29033	anaerobic hydrogen oxidation	iron(2+)		0.47	1
DRIFT	GO:0016984	rbcl, rbcs; rubisco	ribulose-bisphosphate carboxylase activity		0.47	1
DRIFT	GO:0031471	chlorosome	ethanolamine degradation polyhedral organelle		0.47	1
DRIFT	GO:0045259	f1fo-atp synthase	proton-transporting ATP synthase complex		0.47	2
DRIFT	CHEBI:18420	mg²⁺ and isotonic medium	magnesium(2+)		0.48	1
DRIFT	GO:0001539	flagellar rotation / motor function	cilium or flagellum-dependent cell motility		0.48	1
DRIFT	GO:0006950	stringent response	response to stress		0.48	1
DRIFT	GO:0015986	heme-copper oxidase	proton motive force-driven ATP synthesis		0.48	1
DRIFT	GO:0046930	chlorosome	pore complex		0.48	1
DRIFT	CHEBI:16243	hydroxyl radical (•oh)	quercetin		0.49	1
DRIFT	ENVO:01000992	cold stress / low temperature	shower fixture		0.49	1
DRIFT	GO:0046933	f₁f₀ atp synthase	proton-transporting ATP synthase activity, rotational mechanism		0.49	1
DRIFT	CHEBI:15378	proton	hydron		0.50	9
DRIFT	CHEBI:16189	sulfide + nitrate + acetate	sulfate		0.50	1
DRIFT	CHEBI:83529	dodecylamine	N,O-didesmethylvenlafaxine		0.50	1
DRIFT	GO:0042626	abc transporters	ATPase-coupled transmembrane transporter activity		0.50	1
DRIFT	GO:0044826	horizontal gene transfer	viral genome integration into host DNA		0.50	1
DRIFT	GO:0006970	hypoosmotic/salinity downshift	response to osmotic stress		0.51	1
DRIFT	GO:0050776	immune evasion	regulation of immune response		0.51	1
DRIFT	GO:0006972	hyperosmotic environment / hyperosmotic stress	hyperosmotic response		0.52	1
DRIFT	GO:0009767	photophosphorylation	photosynthetic electron transport chain		0.52	1
DRIFT	GO:0019277	septal peptidoglycan biosynthesis	UDP-N-acetylgalactosamine biosynthetic process		0.52	1
DRIFT	GO:0071555	peptidoglycan-based cell wall biogenesis	cell wall organization		0.52	1
DRIFT	GO:0005048	signal peptide	signal sequence binding		0.53	1
