file	graph_id	defect	severity	detail
data/traits/environment/ph_optimum_mid1.yaml	ph_optimum_mid1_neutrophile_setpoint	MICROBE_DOMAIN_ON_NONORGANISM	WARN	f0f1_atpase--METPO:2000209-->proton subject_type=GENE_OR_PROTEIN predicate='exports' — subject entails ⊑ microbe (METPO:1000525) via METPO:2000001
data/traits/environment/ph_range_low.yaml	ph_range_low_acidophile_range	MICROBE_DOMAIN_ON_NONORGANISM	WARN	h_atpase--METPO:2000209-->cytoplasmic_protons subject_type=GENE_OR_PROTEIN predicate='exports' — subject entails ⊑ microbe (METPO:1000525) via METPO:2000001
data/traits/environment/ph_range_very_low.yaml	ph_range_very_low_extreme_acidophile	MICROBE_DOMAIN_ON_NONORGANISM	WARN	reversed_membrane_potential--METPO:2000017-->proton_influx subject_type=STATE predicate='reduces' — subject entails ⊑ microbe (METPO:1000525) via METPO:2000001
data/traits/environment/slightly_halophilic.yaml	slight_halophile_low_salt_osmoadaptation	MICROBE_DOMAIN_ON_NONORGANISM	WARN	osmoprotectant_transport--METPO:2000210-->compatible_solutes subject_type=MOLECULAR_FUNCTION predicate='accumulates' — subject entails ⊑ microbe (METPO:1000525) via METPO:2000001
data/traits/environment/temperature_optimum_high.yaml	temperature_optimum_high_thermophile_setpoint	MICROBE_DOMAIN_ON_NONORGANISM	WARN	positive_dna_supercoiling--METPO:2000017-->dna_melting_high_temperature subject_type=BIOLOGICAL_PROCESS predicate='reduces' — subject entails ⊑ microbe (METPO:1000525) via METPO:2000001
data/traits/environment/zinc_tolerant.yaml	zinc_tolerance_czc_efflux	MICROBE_DOMAIN_ON_NONORGANISM	WARN	znta_atpase--METPO:2000209-->zinc_ion subject_type=GENE_OR_PROTEIN predicate='exports' — subject entails ⊑ microbe (METPO:1000525) via METPO:2000001
data/traits/environment/zinc_tolerant.yaml	zinc_tolerance_czc_efflux	MICROBE_DOMAIN_ON_NONORGANISM	WARN	czccba_complex--METPO:2000209-->zinc_ion subject_type=GENE_OR_PROTEIN predicate='exports' — subject entails ⊑ microbe (METPO:1000525) via METPO:2000001
data/traits/genomics/plasmid_carriage.yaml	plasmid_conjugation_hgt	MICROBE_DOMAIN_ON_NONORGANISM	WARN	compensatory_mutation--METPO:2000017-->fitness_cost subject_type=BIOLOGICAL_PROCESS predicate='reduces' — subject entails ⊑ microbe (METPO:1000525) via METPO:2000001
data/traits/metabolism/acetogenesis.yaml	acetogenesis_wood_ljungdahl	MICROBE_DOMAIN_ON_NONORGANISM	WARN	acetyl_phosphate--METPO:2000202-->atp subject_type=CHEMICAL predicate='produces' — subject entails ⊑ microbe (METPO:1000525) via METPO:2000001
data/traits/metabolism/aerobic_respiration.yaml	aerobic_respiration_terminal_oxidase	MICROBE_DOMAIN_ON_NONORGANISM	WARN	cytochrome_c_oxidase--METPO:2000017-->molecular_oxygen subject_type=GENE_OR_PROTEIN predicate='reduces' — subject entails ⊑ microbe (METPO:1000525) via METPO:2000001
data/traits/metabolism/aerobic_respiration.yaml	aerobic_respiration_terminal_oxidase	MICROBE_DOMAIN_ON_NONORGANISM	WARN	atp_synthase--METPO:2000202-->atp subject_type=GENE_OR_PROTEIN predicate='produces' — subject entails ⊑ microbe (METPO:1000525) via METPO:2000001
data/traits/metabolism/anaerobic_respiration.yaml	anaerobic_respiration_denitrification	MICROBE_DOMAIN_ON_NONORGANISM	WARN	nitrate_reductase--METPO:2000202-->nitrite subject_type=GENE_OR_PROTEIN predicate='produces' — subject entails ⊑ microbe (METPO:1000525) via METPO:2000001
data/traits/metabolism/anaerobic_respiration.yaml	anaerobic_respiration_denitrification	MICROBE_DOMAIN_ON_NONORGANISM	WARN	nitrous_oxide_reductase--METPO:2000017-->nitrous_oxide subject_type=GENE_OR_PROTEIN predicate='reduces' — subject entails ⊑ microbe (METPO:1000525) via METPO:2000001
data/traits/metabolism/anaerobic_respiration.yaml	anaerobic_respiration_denitrification	MICROBE_DOMAIN_ON_NONORGANISM	WARN	nitrous_oxide_reductase--METPO:2000202-->dinitrogen subject_type=GENE_OR_PROTEIN predicate='produces' — subject entails ⊑ microbe (METPO:1000525) via METPO:2000001
data/traits/metabolism/biopolymer_degradation.yaml	biopolymer_degradation_extracellular_hydrolysis	MICROBE_DOMAIN_ON_NONORGANISM	WARN	biopolymer_degradation_trait--METPO:2000202-->assimilable_units subject_type=TRAIT predicate='produces' — subject entails ⊑ microbe (METPO:1000525) via METPO:2000001
data/traits/metabolism/biopolymer_degradation.yaml	biopolymer_degradation_extracellular_hydrolysis	MICROBE_DOMAIN_ON_NONORGANISM	WARN	susc_transporter--METPO:2000208-->oligosaccharides subject_type=GENE_OR_PROTEIN predicate='imports' — subject entails ⊑ microbe (METPO:1000525) via METPO:2000001
data/traits/metabolism/carbon_fixation.yaml	carbon_fixation_co2_assimilation	MICROBE_DOMAIN_ON_NONORGANISM	WARN	carbonic_anhydrase--METPO:2000202-->bicarbonate subject_type=GENE_OR_PROTEIN predicate='produces' — subject entails ⊑ microbe (METPO:1000525) via METPO:2000001
data/traits/metabolism/cellulolysis.yaml	cellulolysis_cellulase_systems	MICROBE_DOMAIN_ON_NONORGANISM	WARN	cellulolysis_trait--METPO:2000202-->glucose subject_type=TRAIT predicate='produces' — subject entails ⊑ microbe (METPO:1000525) via METPO:2000001
data/traits/metabolism/cellulolysis.yaml	cellulolysis_cellulase_systems	MICROBE_DOMAIN_ON_NONORGANISM	WARN	endoglucanase--METPO:2000007-->cellulose subject_type=GENE_OR_PROTEIN predicate='degrades' — subject entails ⊑ microbe (METPO:1000525) via METPO:2000001
data/traits/metabolism/cellulolysis.yaml	cellulolysis_cellulase_systems	MICROBE_DOMAIN_ON_NONORGANISM	WARN	cellobiohydrolase--METPO:2000007-->cellulose subject_type=GENE_OR_PROTEIN predicate='degrades' — subject entails ⊑ microbe (METPO:1000525) via METPO:2000001
data/traits/metabolism/cellulolysis.yaml	cellulolysis_cellulase_systems	MICROBE_DOMAIN_ON_NONORGANISM	WARN	beta_glucosidase--METPO:2000013-->cellobiose subject_type=GENE_OR_PROTEIN predicate='hydrolyzes' — subject entails ⊑ microbe (METPO:1000525) via METPO:2000001
data/traits/metabolism/cellulolysis.yaml	cellulolysis_cellulase_systems	MICROBE_DOMAIN_ON_NONORGANISM	WARN	beta_glucosidase--METPO:2000202-->glucose subject_type=GENE_OR_PROTEIN predicate='produces' — subject entails ⊑ microbe (METPO:1000525) via METPO:2000001
data/traits/metabolism/cellulolysis.yaml	cellulolysis_cellulase_systems	MICROBE_DOMAIN_ON_NONORGANISM	WARN	cellulose--METPO:2000013-->cellobiose subject_type=CHEMICAL predicate='is hydrolyzed to' — subject entails ⊑ microbe (METPO:1000525) via METPO:2000001
data/traits/metabolism/cellulolysis.yaml	cellulolysis_cellulase_systems	MICROBE_DOMAIN_ON_NONORGANISM	WARN	cellobiohydrolase--METPO:2000202-->cellobiose subject_type=GENE_OR_PROTEIN predicate='produces' — subject entails ⊑ microbe (METPO:1000525) via METPO:2000001
data/traits/metabolism/chitinolysis.yaml	chitinolysis_chitinase	MICROBE_DOMAIN_ON_NONORGANISM	WARN	chitinolysis_trait--METPO:2000202-->n_acetylglucosamine subject_type=TRAIT predicate='produces' — subject entails ⊑ microbe (METPO:1000525) via METPO:2000001
data/traits/metabolism/dicarboxylate_four_hydroxybutyrate_cycle.yaml	dc_four_hb_anaerobic_archaeal_co2_fixation	MICROBE_DOMAIN_ON_NONORGANISM	WARN	pyruvate_synthase--METPO:2000202-->pyruvate subject_type=GENE_OR_PROTEIN predicate='produces' — subject entails ⊑ microbe (METPO:1000525) via METPO:2000001
data/traits/metabolism/dicarboxylate_four_hydroxybutyrate_cycle.yaml	dc_four_hb_anaerobic_archaeal_co2_fixation	MICROBE_DOMAIN_ON_NONORGANISM	WARN	pep_carboxylase--METPO:2000202-->oxaloacetate subject_type=GENE_OR_PROTEIN predicate='produces' — subject entails ⊑ microbe (METPO:1000525) via METPO:2000001
data/traits/metabolism/dicarboxylate_four_hydroxybutyrate_cycle.yaml	dc_four_hb_anaerobic_archaeal_co2_fixation	MICROBE_DOMAIN_ON_NONORGANISM	WARN	four_hydroxybutyryl_coa_dehydratase--METPO:2000202-->crotonyl_coa subject_type=GENE_OR_PROTEIN predicate='produces' — subject entails ⊑ microbe (METPO:1000525) via METPO:2000001
